date,claude_code,cursor,github_copilot,windsurf,codex_cli,antigravity,gemini_cli,aider,chatgpt,claude_ai
2026-03-18,83,88,90,73,70,68,58,67,97,80
2026-03-19,84,87,90,74,71,67,59,67,97,81
2026-03-20,84,87,90,74,72,66,59,68,98,81
2026-03-21,85,87,89,75,72,65,60,68,98,82
2026-03-22,85,87,90,75,72,64,60,68,98,82
2026-03-23,85,87,90,75,72,63,60,68,98,82
2026-03-24,85,87,90,75,72,62,60,68,98,82
2026-03-25,86,86,90,75,72,61,61,68,98,83
2026-03-26,87,87,89,75,72,60,61,68,97,84
2026-03-27,87,87,89,75,72,59,61,68,97,84
2026-03-28,88,87,89,75,72,58,62,68,97,84
2026-03-29,89,87,89,75,72,57,62,68,97,85
2026-03-30,90,87,89,75,72,56,62,68,97,86
2026-03-31,90,88,89,75,72,55,63,68,97,86
2026-04-01,91,88,89,75,72,54,64,68,97,87
2026-04-02,91,88,89,75,72,54,64,68,97,87
2026-04-03,91,88,89,74,72,53,64,68,97,87
2026-04-04,92,88,88,74,72,53,64,68,97,87
2026-04-05,92,88,88,74,72,53,64,68,97,87
2026-04-06,92,88,88,74,72,52,64,68,97,87
2026-04-07,92,88,88,74,72,52,64,68,97,87
2026-04-08,92,89,88,74,72,52,65,68,97,87
2026-04-09,92,89,87,74,72,52,65,68,97,87
2026-04-10,92,89,87,74,72,51,65,68,97,87
2026-04-11,92,89,87,74,72,51,65,68,97,87
2026-04-12,92,90,86,74,72,51,65,68,97,87
2026-04-13,92,90,86,74,72,51,65,68,97,87
2026-04-14,92,90,86,74,72,51,65,68,97,87
2026-04-15,93,90,86,74,72,50,65,68,97,87
2026-04-16,94,90,85,74,72,50,65,68,97,88
2026-04-17,94,90,85,74,72,50,65,68,97,88
